MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;327697;Bex Digital 2 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;293808;Bex Digital 9 ;1/10/2017;1267;8,39%;7,39%;Prioridad 4;
SOLES;419389;Bex Digital 6 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;467844;Bex Digital 20;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;722180;Bex Digital 5 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;327609;Bex Digital 20;1/6/2018;1024;7,14%;6,14%;Prioridad 2;
SOLES;306277;Bex Digital 6 ;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;467775;Bex Digital 6 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;797234;Bex Digital 16;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;336020;Bex Digital 3 ;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;435992;Bex Digital 12;1/7/2020;263;6,44%;5,44%;Prioridad 3;
